region_5,rice_type,group,group_label,road_classes,radius_px,requested_buffer_m,effective_radius_m_approx,total_rice_area_acres,road_proximity_rice_area_acres,exposure_proportion
Northeast,major,G3_all_11,+ Residential and unclassified (all 11),motorway;trunk;primary;secondary;tertiary;motorway_link;trunk_link;primary_link;secondary_link;residential;unclassified,2,60,60,12893606.461035952,2017938.8040529161,0.15650693311844593
South,major,G1_major,Major roads + links,motorway;trunk;primary;motorway_link;trunk_link;primary_link,2,60,60,823810.6357302609,13176.59861429948,0.01599469349241793
South,major,G2_plus_secondary_tertiary,+ Secondary and tertiary,motorway;trunk;primary;secondary;tertiary;motorway_link;trunk_link;primary_link;secondary_link,2,60,60,823810.6357302609,71017.25749909002,0.08620580315297495
South,major,G3_all_11,+ Residential and unclassified (all 11),motorway;trunk;primary;secondary;tertiary;motorway_link;trunk_link;primary_link;secondary_link;residential;unclassified,2,60,60,823810.6357302609,234801.5028037235,0.28501878055456936
Central,minor,G1_major,Major roads + links,motorway;trunk;primary;motorway_link;trunk_link;primary_link,1,30,30,1198230.8159430367,6337.025861115083,0.005288652050003981
Central,minor,G2_plus_secondary_tertiary,+ Secondary and tertiary,motorway;trunk;primary;secondary;tertiary;motorway_link;trunk_link;primary_link;secondary_link,1,30,30,1198230.8159430367,31450.70364732997,0.026247617094188574
Central,minor,G3_all_11,+ Residential and unclassified (all 11),motorway;trunk;primary;secondary;tertiary;motorway_link;trunk_link;primary_link;secondary_link;residential;unclassified,1,30,30,1198230.8159430367,176486.21713201137,0.14728899873361415
East,minor,G1_major,Major roads + links,motorway;trunk;primary;motorway_link;trunk_link;primary_link,1,30,30,288560.5562647559,1682.5602543324364,0.0058308740325156505
East,minor,G2_plus_secondary_tertiary,+ Secondary and tertiary,motorway;trunk;primary;secondary;tertiary;motorway_link;trunk_link;primary_link;secondary_link,1,30,30,288560.5562647559,7526.841924065181,0.026084098331025058
East,minor,G3_all_11,+ Residential and unclassified (all 11),motorway;trunk;primary;secondary;tertiary;motorway_link;trunk_link;primary_link;secondary_link;residential;unclassified,1,30,30,288560.5562647559,47564.146901757515,0.1648324619187286
National,minor,G1_major,Major roads + links,motorway;trunk;primary;motorway_link;trunk_link;primary_link,1,30,30,3731267.9759361367,14004.492921461895,0.0037532798533314433
National,minor,G2_plus_secondary_tertiary,+ Secondary and tertiary,motorway;trunk;primary;secondary;tertiary;motorway_link;trunk_link;primary_link;secondary_link,1,30,30,3731267.9759361367,70456.68621748814,0.018882773006892187
National,minor,G3_all_11,+ Residential and unclassified (all 11),motorway;trunk;primary;secondary;tertiary;motorway_link;trunk_link;primary_link;secondary_link;residential;unclassified,1,30,30,3731267.9759361367,377428.07320283,0.10115276512889353
North,minor,G1_major,Major roads + links,motorway;trunk;primary;motorway_link;trunk_link;primary_link,1,30,30,1112913.9201817836,1770.4026615831672,0.0015907813079505638
North,minor,G2_plus_secondary_tertiary,+ Secondary and tertiary,motorway;trunk;primary;secondary;tertiary;motorway_link;trunk_link;primary_link;secondary_link,1,30,30,1112913.9201817836,12405.226810139187,0.011146618426798826
North,minor,G3_all_11,+ Residential and unclassified (all 11),motorway;trunk;primary;secondary;tertiary;motorway_link;trunk_link;primary_link;secondary_link;residential;unclassified,1,30,30,1112913.9201817836,61057.87113394384,0.0548630671489585
Northeast,minor,G1_major,Major roads + links,motorway;trunk;primary;motorway_link;trunk_link;primary_link,1,30,30,883926.2167341657,2851.6321273829667,0.0032260974653731465
Northeast,minor,G2_plus_secondary_tertiary,+ Secondary and tertiary,motorway;trunk;primary;secondary;tertiary;motorway_link;trunk_link;primary_link;secondary_link,1,30,30,883926.2167341657,11823.877838407772,0.013376543895364194
Northeast,minor,G3_all_11,+ Residential and unclassified (all 11),motorway;trunk;primary;secondary;tertiary;motorway_link;trunk_link;primary_link;secondary_link;residential;unclassified,1,30,30,883926.2167341657,64380.79427173321,0.07283503198898247
South,minor,G1_major,Major roads + links,motorway;trunk;primary;motorway_link;trunk_link;primary_link,1,30,30,243047.98904851777,1350.151454507,0.005555081775383378
