fclass,segment_count,share_percent
residential,1352643,84.16737861733682
unclassified,116309,7.237255979296703
tertiary,38561,2.399434504790344
secondary,31467,1.958014718555996
primary,19417,1.208210880929284
trunk,18752,1.1668316649938677
trunk_link,10351,0.644084607740589
primary_link,8085,0.503084151635848
secondary_link,6525,0.4060141112459998
motorway,2630,0.16365013219570565
motorway_link,2347,0.14604063127882932
